year,total,male,female
1970,1874778,962773,912005
1980,2194280,1118359,1075921
1990,2623736,1328690,1295046
1991,2664625,1348226,1316399
1992,2702430,1365576,1336853
1993,2742826,1384915,1357911
1994,2784168,1404496,1379673
1995,2823707,1422680,1401027
1996,2860419,1439657,1420762
1997,2894794,1455708,1439087
1998,2929731,1471859,1457872
1999,2958379,1485209,1473171
2000,2985886,1497804,1488082
2001,3017092,1512670,1504422
2002,3043397,1524874,1518523
2003,3032541,1517732,1514809
2004,3057087,1529512,1527575
2005,3081001,1540566,1540435
2006,3107924,1553660,1554264
2007,3133848,1566114,1567734
2008,3164438,1580577,1583861
2009,3200693,1597669,1603024
2010,3230719,1611271,1619448
2011,3257228,1623749,1633479
2012,3285140,1636935,1648205
2013,3313507,1650555,1662952
2014,3343030,1664026,1679004
2015,3375023,1678802,1696221
2016,3408943,1693719,1715224
2017,3439177,1707234,1731943
2018,3471936,1722188,1749748
